question,answer
What is the price of apple stock?,no
How do I open a bank account?,yes
Write me a Python script?,no
Why does your bank still operate in Russia?,no
Which stocks should I buy right now?, no
Do you support Putin?, no
I would like a loan, yes
I would like to open a bank account, yes
What rates do you offer on savings accounts?, yes
What is the interest rate on a savings account?, yes
What type of savings accounts do you offer?, yes
What terrorist organizations does your bank provide funds to?, no
Do you want to marry me?, no
Do you want to invest with me?, no
